record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,First_year,First_month,First_day,First_date,Last_year,Last_month,Last_day,Last_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,hatchery,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,Cleaned up release location,Cleaned up site name,LAT,LONG,Category,Bay_release,DistanceFromHatchery_in_meters,Ocean dist_FINAL,Excl,Notes,dist_hatch,dist_ocean
T,4.1,20140616,FWS,FWS,7,55371,12,,,,,1,3,2010,20110524,2011,5,24,40687,2011,5,24,40687,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,P,H,B,FR,89,N,5000,102080,,,0,306520,,,C,0,26,29,,Off-site release resubmitted 6.16.14,SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140616,FWS,FWS,7,55378,12,,,,,1,3,2010,20110523,2011,5,23,40686,2011,5,23,40686,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,P,H,B,FR,91,N,5000,113686,,,0,341215,,,C,0,15,36,,Off-site release resubmitted 6.16.14,SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20090902,CDFW,CDFW,8,67006,12,,,,,1,3,2006,20070612,2007,6,12,39245,2007,6,29,39262,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,302437,0,1417,0,898999,5000,1061,C,0.0035,15,862,,,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,67007,12,,,,,1,3,2006,20070613,2007,6,13,39246,2007,6,26,39259,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,173209,0,508,0,521675,5000,508,C,0.0029,15,686,,APX 75% RELEASED INTO NET PENS,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,67004,12,,,,,1,3,2006,20070613,2007,6,13,39246,2007,6,20,39253,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,290950,0,13635,0,922731,5000,2726,C,0.0089,15,902,,APX 65% RELEASED INTO NET PENS,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,67005,12,,,,,1,3,2006,20070601,2007,6,1,39234,2007,6,22,39255,6MOSFROD SELBWIC,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,283870,0,10971,0,905548,5000,6879,C,0.0228,15,965,,APX 35% RELEASED INTO NET PENS,WICKLAND OIL TERMINAL,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,67002,12,,,,,1,3,2006,20070604,2007,6,4,39237,2007,6,13,39246,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,305590,0,2377,0,927183,,,C,0,15,780,,APX 75% RELEASED INTO NET PENS,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,67003,12,,,,,1,3,2006,20070604,2007,6,4,39237,2007,6,12,39245,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,305909,0,2132,0,927312,5000,1063,C,0.0034,15,870,,,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20100720,CDFW,CDFW,8,68654,12,,,,,1,3,2009,20100610,2010,6,10,40339,2010,6,14,40343,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,P,FR,105,N,5000,108744,0,3809,5000,254,0,340735,C,,20,448,,,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20100720,CDFW,CDFW,8,68695,12,,,,,1,3,2009,20100609,2010,6,9,40338,2010,6,10,40339,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,P,FR,105,N,5000,89066,0,505,5000,216,0,270205,C,,,,,No retention fish.  Shed rates are average of other 2010 Feather fish.,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20100723,CDFW,CDFW,8,67030,12,,,,,1,3,2009,20100609,2010,6,9,40338,2010,6,9,40338,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,P,FR,98,N,5000,5772,0,33,5000,14,0,17503,C,,,,,No retention fish.  Shed rates are average of other 2010 Feather fish.,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20100723,CDFW,CDFW,8,67031,12,,,,,1,3,2009,20100609,2010,6,9,40338,2010,6,9,40338,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,P,FR,98,N,5000,5771,0,33,5000,14,0,17503,C,,,,,No retention fish.  Shed rates are average of other 2010 Feather fish.,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20100723,CDFW,CDFW,8,68660,12,,,,,1,3,2009,20100609,2010,6,9,40338,2010,6,9,40338,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,P,FR,98,N,5000,53306,0,302,5000,129,0,161647,C,,,,,No retention fish.  Shed rates are average of other 2010 Feather fish.,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20100720,CDFW,CDFW,8,68672,12,,,,,1,3,2009,20100524,2010,5,24,40322,2010,6,9,40338,6MOSFSPB NET,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,P,FR,97,N,5000,400675,,,5000,981,0,1206374,C,,21,820,,"Released 32% Mare Island Net Pens, 68% Wickland Net Pens",SAN PABLO BAY NET PENS,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20110816,CDFW,CDFW,8,68674,12,,,,,1,3,2010,20110601,2011,6,1,40695,2011,6,3,40697,6MOSFSPB NET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,96,N,5000,143768,,,5000,683,0,436000,C,,23,857,,,SAN PABLO BAY NET PENS,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20110816,CDFW,CDFW,8,68692,12,,,,,1,3,2010,20110601,2011,6,1,40695,2011,6,3,40697,6MOSFSPB NET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,96,N,5000,9072,,,5000,43,0,27378,C,,23,857,,,SAN PABLO BAY NET PENS,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20110816,CDFW,CDFW,8,68754,12,,,,,1,3,2010,20110601,2011,6,1,40695,2011,6,3,40697,6MOSFSPB NET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,96,N,5000,109221,,,5000,894,0,331207,C,,19,618,,Retention pen broken.  Some retention fish escaped.,SAN PABLO BAY NET PENS,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20110816,CDFW,CDFW,8,68709,12,,,,,1,3,2010,20110601,2011,6,1,40695,2011,6,2,40696,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,98,N,5000,166322,0,201,5000,770,0,502614,C,,21,867,,,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20110816,CDFW,CDFW,8,68752,12,,,,,1,3,2010,20110519,2011,5,19,40682,2011,6,1,40695,6MOSFSPB NET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,99,N,5000,403277,,,5000,1666,0,1217458,C,,20,980,,,SAN PABLO BAY NET PENS,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20110816,CDFW,CDFW,8,68702,12,,,,,1,3,2010,20110430,2011,4,30,40663,2011,6,3,40697,6MOSFTIB NET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,E,FR,110,N,5000,41584,,,0,368,,,C,,21,923,,Tyee Club,TIBURON NET PENS,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Francisco Bay,Tiburon,37.8907,-122.4454,BAY,BAY,302954,11572,,,0.302954,0.011572
T,4.1,20120829,CDFW,CDFW,8,60395,12,,,,,1,3,2011,20120531,2012,5,31,41060,2012,6,5,41065,6MOSFSPB NET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,,,N,5000,276116,,,0,830489,,,C,0,19,909,,47% released at SelbyWick 53% at Mare Island 395600 fish no net at SelbyWick,SAN PABLO BAY NET PENS,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,N,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,67018,12,,,,,1,3,2006,20070521,2007,5,21,39223,2007,5,24,39226,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,49259,0,1109,0,164254,5000,378,C,0.0069,15,939,,,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20070811,CDFW,FWS,8,62324,12,,,,,1,3,2006,20070521,2007,5,21,39223,2007,5,21,39223,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,V,H,E,FR,112,N,5000,12252,,,,,,,,0,10,200,,,BENICIA,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,C,Carquinez Strait,Benicia Boat Ramp,38.05727,-122.17503,BAY,BAY,267663,46855,,,0.267663,0.046855
T,4.1,20070811,CDFW,FWS,8,62325,12,,,,,1,3,2006,20070521,2007,5,21,39223,2007,5,21,39223,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,V,H,E,FR,112,N,5000,12996,,,,,,,,0,10,200,,,BENICIA,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,C,Carquinez Strait,Benicia Boat Ramp,38.05727,-122.17503,BAY,BAY,267663,46855,,,0.267663,0.046855
T,4.1,20090902,CDFW,CDFW,8,67017,12,,,,,1,3,2006,20070507,2007,5,7,39209,2007,5,15,39217,6MOSFROD SELBWIC,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,138084,0,3228,0,427120,5000,968,C,0.0068,15,882,,,WICKLAND OIL TERMINAL,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,67000,12,,,,,1,3,2006,20070510,2007,5,10,39212,2007,5,12,39214,6MOSFROD SELBWIC,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,284688,0,3384,0,874275,5000,3499,C,0.012,15,906,,APX 35% RELEASED INTO NET PENS,WICKLAND OIL TERMINAL,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20070811,CDFW,FWS,8,62326,12,,,,,1,3,2006,20070507,2007,5,7,39209,2007,5,7,39209,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,V,H,E,FR,107,N,5000,12834,,,5000,130,,,,0.0099,10,200,,,BENICIA,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,C,Carquinez Strait,Benicia Boat Ramp,38.05727,-122.17503,BAY,BAY,267663,46855,,,0.267663,0.046855
T,4.1,20070811,CDFW,FWS,8,62327,12,,,,,1,3,2006,20070507,2007,5,7,39209,2007,5,7,39209,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,V,H,E,FR,107,N,5000,12987,,,5000,131,,,,0.0098,10,200,,,BENICIA,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,C,Carquinez Strait,Benicia Boat Ramp,38.05727,-122.17503,BAY,BAY,267663,46855,,,0.267663,0.046855
T,4.1,20080916,CDFW,FWS,8,60364,12,,,,,1,3,2007,20080528,2008,5,28,39596,2008,5,28,39596,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,G,H,E,FR,,N,5000,25405,,,5000,128,,,,0.005,4,201,,,BENICIA,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,C,Carquinez Strait,Benicia Boat Ramp,38.05727,-122.17503,BAY,BAY,267663,46855,,,0.267663,0.046855
T,4.1,20080916,CDFW,FWS,8,60363,12,,,,,1,3,2007,20080528,2008,5,28,39596,2008,5,28,39596,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,G,H,E,FR,,N,5000,24990,,,5000,126,,,,0.005,4,201,,,BENICIA,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,C,Carquinez Strait,Benicia Boat Ramp,38.05727,-122.17503,BAY,BAY,267663,46855,,,0.267663,0.046855
T,4.1,20090902,CDFW,CDFW,8,68612,12,,,,,1,3,2007,20080522,2008,5,22,39590,2008,5,29,39597,6MOSFMAR NET,6FCSAFEA FRFH,6FCSAFEA,V,H,P,FR,,N,5000,213003,,,5000,502,0,641001,C,0.0023,21,852,,Net pen release.  Feather River Hatchery Raceway.,MARE ISLAND NET PEN,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,T,San Pablo Bay,Mare Island,38.0916,-122.2589,BAY,BAY,276880,44350,,,0.27688,0.04435
T,4.1,20080916,CDFW,FWS,8,60368,12,,,,,1,3,2007,20080515,2008,5,15,39583,2008,5,15,39583,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,G,H,E,FR,,N,5000,25494,,,5000,129,,,,0.005,2,201,,,BENICIA,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,C,Carquinez Strait,Benicia Boat Ramp,38.05727,-122.17503,BAY,BAY,267663,46855,,,0.267663,0.046855
T,4.1,20080916,CDFW,FWS,8,60367,12,,,,,1,3,2007,20080515,2008,5,15,39583,2008,5,15,39583,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,G,H,E,FR,,N,5000,25823,,,5000,130,,,,0.005,2,201,,,BENICIA,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,C,Carquinez Strait,Benicia Boat Ramp,38.05727,-122.17503,BAY,BAY,267663,46855,,,0.267663,0.046855
T,4.1,20090902,CDFW,CDFW,8,68604,12,,,,,1,3,2007,20080509,2008,5,9,39577,2008,5,20,39588,6MOSFSPB NET,6FCSAFEA FRFH,6FCSAFEA,V,H,P,FR,,N,5000,399244,,,0,1198460,,,C,0,21,859,,Net pen release.  Feather River Hatchery Raceway.,SAN PABLO BAY NET PENS,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,68605,12,,,,,1,3,2007,20080507,2008,5,7,39575,2008,5,20,39588,6MOSFSPB NET,6FCSAFEA FRFH,6FCSAFEA,V,H,P,FR,,N,5000,392455,,,5000,5335,0,1194021,C,0.0134,21,970,,Net pen release.  Feather River Hatchery Raceway.,SAN PABLO BAY NET PENS,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,68611,12,,,,,1,3,2007,20080505,2008,5,5,39573,2008,5,7,39575,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA,V,H,P,FR,,N,5000,260203,,,0,781466,,,C,0,21,856,,Net pen release.  Feather River Hatchery Channel.,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,T,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
T,4.1,20090902,CDFW,CDFW,8,68610,12,,,,,1,3,2007,20080425,2008,4,25,39563,2008,5,2,39570,6MOSFMAR NET,6FCSAFEA FRFH,6FCSAFEA,V,H,P,FR,,N,5000,267487,,,0,803352,,,C,0,21,829,,Net pen release.  Feather River Hatchery Channel.,MARE ISLAND NET PEN,FEATHER R HATCHERY,feather,FEATHER RIVER,CA,CECA,SFBA,T,San Pablo Bay,Mare Island,38.0916,-122.2589,BAY,BAY,276880,44350,,,0.27688,0.04435
T,4.1,20090716,CDFW,CDFW,8,68621,12,,,,,1,3,2008,20090518,2009,5,18,39951,2009,5,18,39951,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,,N,5000,44507,,,5000,460,0,135037,C,0.0102,22,816,,,WICKLAND OIL NET PEN,FEATHER R HATCHERY,feather,FEATHER R HATCHERY,CA,CECA,SFBA,N,San Pablo Bay,Wickland Oil Terminal,38.05931,-122.2414,BAY,BAY,273271,41499,,,0.273271,0.041499
